Blog	jpg	background	img	a	b	c	d	e	f	g	h	i	j	k	l	business	m	n	o	dont	p	q	r	s	t	u	v	w	x	y	z	next	get	pages	strong	about	solid	first	mark	gif	blogspot	want	ffffff	htm	gov	into	code	class	float	white	makes	https	can	allowscriptaccess	true	block	home	files	feedflare	amazon	blogs	more	who	object	why	status	apple	life	via	span	amp	tag	post	asp	videos	making	link	future	media	best	utf	style	param	utm	itunes	top	ref	rel	wikipedia	than	that	left	center	two	src	feedburner	icon	this	wants	iframe	stories	rss	sglipbpwu	off	wiki	small	border	internet	data	net	new	feed	one	pub	index	search	embed	bb	bc	be	world	org	game	br	shockwave	by	campaign	da	dc	de	df	di	do	fa	ff	twitter	not	now	against	height	york	hl	week	li	photo	view	ly	content	show	no	text	july	blockquote	pp	px	value	re	size	th	to	tv	over	articles	za	flash	online	page	has	shows	download	html	make	store	story	posts	release	both	news	href	facebook	its	how	music	down	photos	doubleclick	edu	blog	name	people	archives	day	million	for	user	right	div	width	watch	yil	video	products	could	you	target	web	ads	network	font	player	all	alt	padding	and	assets	medium	gallery	iphone	but	app	like	article	are	play	ismap	www	application	work	the	say	feedads	set	none	google	images	allowfullscreen	plus	time	file	auoc	full	feeds	title	pdf	display	php	what	click	users	movie	when	comments	free	png	will	align	series	frameborder	power	color	man	with	ab	ac	ad	ae	an	as	at	ca	from	cc	ce	cf	image	co	press	ea	em	en	report	nytimes	out	youtube	go	coming	id	ie	if	in	is	it	yahoo	your	clear	me	apps	margin	my	of	source	key	ol	on	or	type	always	flickr	ss	case	uk	ul	up	us	we	wp	social	have	blank	decoration
A blog covering security and security technology.	0	0	0	16	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0
A weblog by Tom Coates concerning social software, mass-amateurisation, design and future media distribution/navigation...	0	0	0	528	1	2	0	0	2	0	0	3	0	1	0	0	0	0	0	0	71	2	1	0	0	0	2	0	1	0	1	0	1	1	0	2	0	0	0	0	0	1	0	1	0	0	1	158	0	0	1	0	1	2	2	0	0	0	0	1	2	1	0	2	0	0	1	0	0	0	12	0	1	2	0	0	48	1	0	0	1	0	3	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	3	0	2	0	0	1	0	11	0	0	1	0	0	0	2	0	0	0	1	0	0	4	0	0	0	2	0	1	0	96	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	3	3	0	0	0	1	0	0	0	1	0	12	0	2	0	1	0	0	3	263	0	0	0	3	0	0	0	2	5	3	0	4	0	0	2	1	0	288	2	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	42	1	3	4	0	0	0	0	3	0	2	0	0	0	0	0	0	2	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	1	0	0	1	1	1	0	2	0	0	3	1	0	8	1	0	4	0	0	2	0	0	0	2	0	0	0	1	0	1	2	1	0	0	9	26	0	163	0	0	0	0	0	0
Today's gossip is tomorrow's news	38	76	389	846	234	22	184	19	78	13	90	124	13	20	25	1	6	20	0	1	6	8	60	25	7	0	86	14	7	31	1	0	8	0	0	39	76	1	8	0	1	0	38	0	0	2	0	128	39	76	0	0	0	0	0	38	0	7	39	0	1	47	7	0	0	0	0	0	0	178	0	2	8	0	15	7	0	0	5	7	0	306	0	0	0	0	0	0	0	0	7	39	0	0	233	195	13	7	0	0	0	0	78	0	0	38	270	0	0	0	30	0	7	0	0	0	0	0	0	2	0	1	0	40	0	8	0	0	0	0	0	0	0	0	312	1	7	1	8	115	14	0	0	0	0	0	0	0	7	7	115	0	0	38	381	0	5	38	0	227	0	7	0	78	0	1	0	7	0	0	5	0	0	1	0	0	39	3	305	0	0	7	0	0	1	0	0	0	0	0	0	7	7	54	0	77	308	191	8	78	17	1	7	24	7	0	0	0	38	0	2	38	115	24	38	1	0	0	0	0	0	9	0	13	0	9	0	1	79	0	0	8	76	0	38	0	0	0	2	78	351	351	153	0	38	1	6	191	0	0	1	0	10	0	9	38	0	0	0	228	1	14	0	0	8	0	2	0	28	0	0	0	0	0	39	0	0	0	46	0	0	2	0	1	1	7	1	0	0	14	11	7	0	7	40	1	0	0	0	43	0	0	0	17	7	0	0	1	6	2	0	0	2	1	2	0	0	0	0	38
Download Squad.	38	40	44	923	2	0	4	0	0	1	1	4	0	0	0	0	3	0	5	0	173	1	0	4	4	0	1	8	0	0	0	8	7	4	24	1	127	4	0	0	5	0	0	1	0	7	5	1	5	0	0	7	6	0	0	0	1	0	0	4	3	0	3	0	0	4	8	0	41	0	4	32	4	0	0	0	40	1	45	0	0	196	0	3	6	51	0	45	1	0	1	50	35	0	44	1	0	121	0	0	0	0	0	0	3	0	217	5	0	2	17	42	1	0	3	3	0	0	0	5	0	21	0	214	0	4	1	0	0	1	0	0	0	1	0	1	0	35	4	26	0	0	8	0	0	42	0	1	3	0	34	0	0	0	298	0	0	0	0	117	0	3	2	0	0	0	4	0	0	5	25	0	12	0	0	3	40	3	439	6	0	7	4	0	0	0	0	16	2	0	1	0	0	62	6	56	80	112	1	0	7	3	0	4	32	12	0	0	0	5	0	31	40	45	0	1	4	5	0	29	1	0	2	0	0	137	0	0	10	1	0	0	0	31	3	0	6	0	3	0	0	0	125	0	0	0	2	0	1	0	0	80	2	6	0	35	0	0	5	0	0	7	0	0	0	0	7	4	1	3	6	0	0	0	0	1	0	0	36	9	0	0	10	10	0	2	6	1	0	25	8	4	0	20	40	0	3	80	3	16	1	0	0	58	0	2	0	0	0	0	1	0	1	8	0	0	1	0	32	0
Founded in July 2005, Mashable is the world's largest blog focused exclusively on Web 2.0 and Social Media news. Mashable is the most prolific blog reviewing new Web sites and services, publishing breaking news on what's new on the web and offering social media resources and guides.	0	0	0	260	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	27	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	52	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	5	5	0	0	52	0	0	5	6	0	1	1	0	0	0	0	0	26	0	0	7	0	0	5	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	7	0	0	0	26	1	0	1	52	5	0	0	0	0	0	0	0	12	0	0	0	0	0	12	0	2	0	0	0	0	0	0	1	0	0	0	129	49	0	1	0	5	1	0	0	0	26	0	1	5	0	15	0	0	0	0	1	0	14	0	1	1	84	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	55	0	0	11	0	0	1	26	12	0	0	2	0	0	0	0	0	26	0	0	26	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	2	0	10	1	2	0	0	5	0	1	1	0	0	5	1	1	0	1	0	0	0	0	0	1	0	0	0	4	0	26	0	0	0	0	0	0	0	0	0	1	5	0	84	26
Topix Blog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The D.C. Gossip	0	0	77	162	67	54	119	58	70	3	3	4	4	4	1	21	3	3	5	0	25	7	2	20	3	6	53	4	1	1	5	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	14	0	0	0	14	0	0	0	0	77	0	0	0	0	0	0	7	0	0	0	2	7	2	0	0	0	21	0	0	0	3	4	0	2	0	0	5	3	21	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	49	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	56	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	0	0	0	0	0	0	0	14	0	49	0	0	70	0	0	0	0	0	0	0	0	0	14	0	0	0	49	0	0	0	0	0	0	14	21	98	0	0	0	0	0	0	0	49	0	14	49	0	7	0	0	0	0	0	21	0	0	0	0	0	49	0	0	2	7	2	3	0	0	0	4	0	4	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	42	0	0	0	0	1	0	7	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
Celebrity Gossip and Entertainment News, Covering Celebrity News and Hollywood Rumors. Get All The Latest Gossip at TMZ - Thirty Mile Zone.	36	2	44	264	11	6	16	17	14	0	0	3	0	0	0	0	0	0	16	0	106	0	0	0	0	0	22	0	2	0	0	0	0	0	110	0	4	2	2	0	0	0	2	0	0	0	0	52	4	0	0	0	0	2	9	4	0	0	0	0	0	0	0	4	0	0	0	0	0	28	11	0	0	0	5	0	0	0	30	0	0	10	18	0	0	8	0	0	0	0	0	5	0	0	44	0	12	0	0	0	0	0	0	2	0	2	6	0	4	16	1	0	0	0	0	0	0	1	1	0	0	0	0	272	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1	14	0	0	0	0	30	18	0	4	0	0	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	2	0	4	0	0	0	20	0	0	0	0	0	0	2	34	18	0	0	7	0	0	1	16	0	0	0	6	6	0	41	2	2	13	0	0	0	0	0	0	0	0	0	0	128	2	0	5	0	0	0	4	0	12	4	0	0	2	0	0	0	0	3	6	0	0	0	0	0	0	4	0	12	3	2	0	0	0	4	0	0	0	0	0	1	0	0	0	3	0	0	0	0	6	0	0	4	2	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	6	0	2	0	0	0	5	0	2	2	0	0	0	0	0	0	0	0	0	0	0	16	0
Perez Hilton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daily digest on productivity and life improvements	25	0	443	782	25	21	212	26	104	88	178	82	41	13	16	1	13	16	16	0	771	61	20	7	0	13	52	56	31	0	17	0	0	0	194	3	0	0	0	0	0	0	0	1	0	0	0	53	0	2	0	1	2	0	40	0	1	44	20	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	7	0	0	0	0	3	0	3	0	0	0	1	0	243	180	0	0	0	0	0	0	40	0	3	0	200	0	0	81	0	0	0	2	0	3	0	0	0	0	3	210	0	94	0	1	0	40	0	0	14	40	0	3	333	11	0	0	0	42	0	0	0	94	1	0	0	44	0	0	7	0	18	0	5	0	0	22	0	5	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	263	0	0	2	0	0	3	80	0	8	0	0	0	0	0	0	0	1	50	48	0	0	0	2	0	0	11	0	0	0	0	0	0	23	0	1	0	19	0	0	0	0	0	0	0	0	40	68	0	0	11	0	80	0	0	0	0	0	0	0	0	0	3	340	36	0	0	2	2	0	0	0	0	0	0	20	0	2	0	0	6	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	22	1	0	0	70	4	0	0	2	0	0	0	5	0	0	2	2	0	0	2	0	0	0	0	0	6	0	0	4	2	0	0	0	5	3	0	0	16	0	2	13	76	2	0	11	0
A bunch of tricks, hacks & other cool stuff. A weblog by Merlin Mann	15	16	149	917	23	11	27	22	60	0	107	75	2	9	13	1	2	3	1	1	1091	18	22	38	2	12	41	26	30	6	8	0	1	0	174	4	16	7	0	0	0	0	9	0	0	1	2	46	17	0	0	9	0	23	23	2	0	1	15	2	1	10	4	42	0	5	3	1	0	6	27	1	7	0	0	1	1	1	74	0	4	35	73	0	4	0	0	40	15	2	1	16	3	1	110	106	32	1	0	6	0	0	30	2	17	15	67	0	10	6	5	2	0	0	0	3	18	0	0	2	0	61	1	21	21	55	0	0	0	0	0	0	2	1	91	13	1	3	0	54	0	5	0	164	0	0	1	0	0	0	3	0	32	0	99	67	1	15	5	11	36	0	5	0	41	0	0	0	2	1	13	0	0	0	0	0	0	1	419	1	0	4	0	0	6	0	3	18	91	2	0	0	0	5	0	17	76	55	6	0	6	0	0	5	3	1	0	1	15	39	3	35	16	10	0	0	0	0	1	0	1	2	0	14	0	171	21	8	14	0	0	2	0	3	0	23	1	6	15	0	0	106	73	1	1	3	3	0	9	21	0	0	4	23	0	2	0	3	9	33	0	16	0	0	7	7	0	0	1	2	1	0	0	8	0	1	1	0	526	21	0	0	0	14	1	0	33	4	0	5	4	0	0	1	0	1	1	18	6	9	0	0	14	7	5	42	23	10	1	0	1	38	0	16	0	0	0	1	3	0
...	187	0	96	608	1	10	6	9	7	3	0	2	0	3	3	2	1	5	2	1	622	3	1	5	3	1	11	1	2	1	0	0	0	2	54	0	0	0	0	0	1	0	0	11	0	0	0	5	0	0	0	0	1	0	0	0	3	3	0	10	0	0	0	4	0	0	0	0	0	0	4	2	0	3	0	1	0	2	1	0	2	2	8	0	0	0	0	4	26	0	0	12	0	2	97	0	0	0	0	0	1	1	0	0	29	0	6	1	0	16	0	0	0	0	17	3	4	0	0	6	0	80	0	71	2	1	0	0	0	19	0	0	1	0	0	0	117	0	0	99	0	2	1	1	3	1	0	1	0	0	0	0	0	0	2	4	0	0	1	1	1	0	0	0	2	1	4	0	2	0	47	118	0	0	0	0	0	8	300	0	0	1	0	0	10	0	3	4	4	0	38	0	0	0	1	10	10	99	2	0	3	0	0	1	0	0	0	0	0	0	0	95	0	1	0	0	2	0	0	0	0	3	0	0	0	303	2	1	6	0	0	3	2	2	0	0	0	0	1	0	0	0	0	0	0	44	0	0	1	2	1	0	4	0	1	22	0	0	0	0	0	2	0	2	1	0	0	1	3	1	0	1	0	0	1	12	0	0	148	36	0	0	0	7	0	0	18	2	0	4	0	29	0	0	0	0	0	2	0	3	0	0	0	1	0	2	0	10	0	0	13	0	0	4	118	0	0	0	0	0
Computers make us more productive. Yeah, right. Lifehacker recommends the software downloads and web sites that actually save time. Don't live to geek; geek to live.	20	40	280	494	149	38	123	38	60	0	40	62	0	0	13	0	6	8	12	0	67	13	26	67	0	6	46	0	7	0	0	0	14	0	0	27	40	0	0	20	0	0	20	0	0	14	20	63	20	40	0	0	7	0	0	27	0	0	20	2	0	34	0	0	0	0	0	8	0	86	8	2	0	0	0	0	0	0	0	0	1	260	0	0	0	0	1	0	0	0	0	20	0	0	180	100	3	14	0	0	0	40	40	0	0	20	220	0	7	0	8	0	0	20	0	0	0	0	2	4	0	1	0	61	0	7	0	2	2	2	4	0	25	0	160	0	0	7	0	100	0	0	10	0	5	0	6	0	0	0	60	0	0	20	200	0	5	20	0	146	0	0	0	40	1	0	0	0	0	0	0	0	0	0	7	0	100	0	167	7	0	16	0	0	1	0	0	0	0	1	0	1	0	22	0	40	160	140	0	40	3	0	0	21	0	7	47	0	20	0	7	80	60	21	20	0	2	23	0	1	9	0	0	3	0	3	0	0	29	0	0	0	80	21	20	0	7	0	15	40	180	180	80	0	60	0	16	120	0	0	0	0	0	0	0	20	0	0	0	120	0	14	2	0	0	2	7	0	7	2	2	4	4	0	20	0	0	2	4	1	0	0	0	0	0	0	0	1	0	43	0	0	0	28	100	0	0	0	16	10	0	20	0	16	12	0	0	1	0	0	0	0	8	6	7	0	0	0	0	20
by Jeff Jarvis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The (r)Eevolution of Media	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The art of getting BACKLINKS.	0	0	25	56	18	36	30	83	72	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	2	0	0	1	0	0	25	0	0	0	2	0	0	25	0	0	0	25	0	0	23	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	9	0	0	0	0	0	1	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	50	25	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Celebrity Photos and Gossip	60	0	280	521	4	5	48	5	17	84	0	33	16	13	0	0	8	8	8	0	40	8	20	6	5	4	40	17	73	4	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	40	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	20	0	0	0	0	0	0	0	0	1	0	0	0	180	140	0	0	0	0	0	0	40	0	0	0	100	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	40	0	0	0	40	0	0	120	0	0	1	0	80	0	0	0	0	0	0	0	60	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	40	0	0	0	0	0	0	0	5	0	0	0	0	20	12	180	0	0	1	0	0	0	80	0	0	0	0	0	0	0	1	0	1	80	100	0	40	4	0	0	3	0	0	0	0	0	0	0	60	0	13	0	0	0	0	0	0	0	0	0	0	40	80	0	4	49	5	80	0	0	0	0	0	0	0	0	40	0	140	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	5	4	0	0	20	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	48	60	0	0	0	0
Personal Development for Smart People	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Technology Bits and Blogging Tips.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
